Emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
emp226,0.11,0.92,6,260,4,0,1,0,support,low
emp227,0.38,0.49,2,132,3,0,1,0,support,low
emp228,0.7,0.89,3,183,5,0,1,0,support,low
emp229,0.09,0.82,6,250,4,0,1,0,support,low
emp230,0.37,0.45,2,151,3,0,1,0,support,low
emp231,0.1,0.83,6,292,4,0,1,0,support,low
emp232,0.38,0.57,2,140,3,0,1,0,support,low
emp233,0.9,1,5,221,5,0,1,0,support,low
emp234,0.44,0.51,2,138,3,0,1,0,support,low
emp235,0.36,0.5,2,132,3,0,1,0,technical,low
emp236,0.31,0.84,7,133,5,0,1,0,technical,low
emp237,0.1,0.84,6,283,4,1,1,0,technical,low
emp238,0.42,0.48,2,129,3,0,1,0,management,low
emp239,0.74,1,4,249,5,0,1,0,IT,low
emp240,0.73,0.87,5,257,5,0,1,0,IT,low
emp241,0.09,0.96,6,245,4,0,1,0,IT,low
emp242,0.45,0.53,2,155,3,0,1,0,IT,low
emp243,0.11,0.8,6,256,4,0,1,0,IT,low
emp244,0.37,0.47,2,152,3,0,1,0,product_mng,low
emp245,0.84,0.99,4,267,5,0,1,0,product_mng,low
emp246,0.41,0.46,2,151,3,0,1,0,product_mng,low
emp247,0.76,0.92,4,239,5,0,1,0,product_mng,low
emp248,0.11,0.87,6,306,4,0,1,0,IT,low
emp249,0.84,0.88,4,263,5,1,1,0,marketing,low
emp250,0.39,0.5,2,147,3,0,1,0,marketing,low
emp251,0.11,0.91,6,278,4,0,1,0,marketing,low
emp252,0.45,0.56,2,154,3,0,1,0,marketing,low
emp253,0.37,0.52,2,143,3,0,1,0,marketing,low
emp254,0.4,0.52,2,155,3,0,1,0,marketing,low
emp255,0.39,0.48,2,160,3,0,1,0,sales,low
emp256,0.11,0.8,6,304,4,0,1,0,accounting,low
emp257,0.83,1,5,240,5,0,1,0,support,low
emp258,0.11,0.92,6,305,4,0,1,0,technical,low
emp259,0.39,0.5,2,136,3,0,1,0,management,low
emp260,0.45,0.45,2,132,3,0,1,0,marketing,low
emp261,0.1,0.95,7,301,4,0,1,0,marketing,low
emp262,0.9,0.98,5,243,6,0,1,0,marketing,low
emp263,0.45,0.51,2,147,3,0,1,0,sales,low
emp264,0.79,0.89,5,239,5,0,1,0,sales,low
emp265,0.9,0.99,5,260,5,0,1,0,sales,low
emp266,0.11,0.84,7,296,4,0,1,0,sales,low
emp267,0.43,0.55,2,129,3,0,1,0,sales,low
emp268,0.31,0.54,5,132,5,0,1,0,sales,low
emp269,0.32,0.5,2,135,5,0,1,0,sales,low
emp270,0.45,0.57,2,158,3,0,1,0,sales,low
emp271,0.81,0.99,4,259,5,0,1,0,sales,low
emp272,0.41,0.46,2,160,3,0,1,1,sales,low
emp273,0.11,0.78,7,278,4,0,1,0,sales,low
emp274,0.1,0.88,6,284,4,0,1,0,sales,low
emp275,0.7,0.53,2,274,4,0,1,0,sales,low
emp276,0.54,0.74,4,164,2,0,1,0,sales,low
emp277,0.41,0.48,2,148,3,0,1,0,sales,low
emp278,0.38,0.5,2,140,3,0,1,0,sales,medium
emp279,0.37,0.51,2,127,3,0,1,0,sales,medium
emp280,0.11,0.85,6,308,5,0,1,0,sales,medium
emp281,0.4,0.47,2,146,3,0,1,0,sales,medium
emp282,0.1,0.84,6,261,4,0,1,0,accounting,medium
emp283,0.89,0.99,5,257,5,0,1,0,accounting,medium
emp284,0.11,0.8,6,285,4,0,1,0,accounting,medium
emp285,0.36,0.55,2,141,3,0,1,0,hr,medium
emp286,0.4,0.46,2,127,3,0,1,0,hr,medium
emp287,0.09,0.85,6,297,4,0,1,0,hr,medium
emp288,0.4,0.46,2,143,3,0,1,0,hr,medium
emp289,0.37,0.55,2,152,3,0,1,0,technical,medium
emp290,0.44,0.51,2,156,3,0,1,0,technical,high
emp291,0.09,0.8,7,283,5,0,1,0,technical,low
emp292,0.92,0.87,4,226,6,1,1,0,technical,medium
emp293,0.74,0.91,4,232,5,0,1,0,technical,medium
emp294,0.09,0.82,6,249,4,0,1,0,technical,medium
emp295,0.89,0.95,4,275,5,0,1,0,technical,medium
emp296,0.09,0.8,6,304,4,0,1,0,technical,low
emp297,0.27,0.54,7,278,3,0,1,0,technical,low
emp298,0.1,0.91,6,287,4,0,1,0,technical,low
emp299,0.1,0.89,7,285,4,0,1,0,technical,low
emp300,0.77,0.94,5,226,6,0,1,0,support,low
emp301,0.9,0.82,5,259,5,0,1,0,support,low
emp302,0.39,0.5,2,135,3,0,1,0,support,low
emp303,0.76,1,5,219,5,0,1,0,support,low
emp304,0.1,0.93,6,256,4,0,1,0,support,low
emp305,0.87,0.9,5,254,6,0,1,0,support,low
emp306,0.38,0.5,2,153,3,0,1,0,support,low
emp307,0.77,0.99,5,228,5,0,1,0,support,low
emp308,0.78,0.87,4,228,5,0,1,0,support,low
emp309,0.44,0.5,2,128,3,0,1,0,support,low
emp310,0.38,0.52,2,153,3,0,1,0,support,low
emp311,0.43,0.46,2,156,3,0,1,0,technical,low
emp312,0.39,0.5,4,294,3,0,1,0,technical,low
emp313,0.88,1,5,219,5,0,1,0,technical,low
emp314,0.45,0.46,2,153,3,0,1,0,management,low
emp315,0.4,0.53,2,151,3,0,1,0,IT,low
emp316,0.36,0.51,2,155,3,0,1,0,IT,low
emp317,0.36,0.48,2,158,3,0,1,0,IT,low
emp318,0.9,0.98,5,245,5,0,1,0,IT,low
emp319,0.43,0.53,2,131,3,0,1,0,IT,low
emp320,0.89,0.87,5,225,5,0,1,0,product_mng,low
emp321,0.1,0.84,6,286,4,0,1,0,product_mng,low
emp322,0.37,0.5,2,135,3,0,1,0,product_mng,low
emp323,0.37,0.51,2,153,3,0,1,0,product_mng,low
emp324,0.87,0.9,5,252,5,0,1,0,IT,low
emp325,0.4,0.56,2,149,3,0,1,0,accounting,low
emp326,0.9,0.97,4,258,5,0,1,0,accounting,low
emp327,0.37,0.46,2,158,3,0,1,0,hr,low
emp328,0.44,0.54,2,149,3,0,1,0,hr,low
emp329,0.85,0.95,5,236,5,0,1,0,hr,low
emp330,0.78,0.98,5,239,6,0,1,0,marketing,low
emp331,0.42,0.47,2,159,3,0,1,0,marketing,low
emp332,0.92,0.99,5,255,6,0,1,0,sales,low
emp333,0.11,0.83,6,244,4,0,1,0,accounting,low
emp334,0.42,0.56,2,134,3,0,1,0,support,low
emp335,0.48,0.57,4,270,4,0,1,0,technical,low
emp336,0.83,0.85,4,255,5,0,1,0,management,low
emp337,0.4,0.53,2,151,3,0,1,0,marketing,low
emp338,0.43,0.45,2,135,3,0,1,0,marketing,low
emp339,0.43,0.53,2,146,3,0,1,0,marketing,low
emp340,0.1,0.97,7,254,4,0,1,0,sales,low
emp341,0.1,0.87,7,289,4,0,1,0,sales,low
emp342,0.37,0.46,2,156,3,0,1,0,sales,low
emp343,0.38,0.53,2,156,3,0,1,0,sales,low
emp344,0.4,0.5,2,128,3,0,1,0,sales,low
emp345,0.89,0.86,5,275,5,0,1,0,sales,low
emp346,0.45,0.46,2,155,3,0,1,0,sales,low
emp347,0.37,0.48,2,159,3,0,1,0,sales,low
emp348,0.46,0.49,2,148,3,0,1,0,sales,low
emp349,0.87,0.91,4,228,5,0,1,0,sales,low
emp350,0.11,0.84,6,298,4,0,1,0,sales,low
emp351,0.79,0.87,5,261,5,0,1,0,sales,low
emp352,0.79,0.92,5,254,6,0,1,0,sales,low
emp353,0.19,0.59,7,192,3,0,1,0,sales,low
emp354,0.87,0.98,4,248,5,0,1,0,sales,low
emp355,0.6,0.92,2,258,5,0,1,0,sales,low
emp356,0.44,0.45,2,156,3,0,1,0,sales,medium
emp357,0.11,0.81,6,266,4,1,1,0,sales,medium
emp358,0.42,0.54,2,156,3,0,1,0,sales,medium
emp359,0.88,0.88,5,232,5,1,1,0,accounting,medium
emp360,0.11,0.84,6,287,4,0,1,0,accounting,medium
emp361,0.46,0.46,2,154,3,0,1,0,accounting,medium
emp362,0.82,0.97,5,263,5,0,1,0,hr,medium
emp363,0.44,0.56,2,131,3,0,1,0,hr,medium
emp364,0.11,0.78,6,260,4,0,1,0,hr,medium
emp365,0.42,0.5,2,139,3,0,1,0,hr,medium
emp366,0.84,0.93,4,251,5,0,1,0,technical,medium
emp367,0.11,0.95,6,286,4,0,1,0,technical,medium
emp368,0.45,0.53,2,129,3,0,1,0,technical,high
emp369,0.38,0.56,2,156,3,0,1,0,technical,low
emp370,0.38,0.86,6,139,6,0,1,0,technical,medium
emp371,0.44,0.51,2,127,3,0,1,0,technical,medium
emp372,0.11,0.84,6,251,4,0,1,0,technical,medium
emp373,0.81,0.93,5,270,5,0,1,0,technical,medium
emp374,0.09,0.96,6,296,4,0,1,0,technical,low
emp375,0.11,0.9,6,254,4,0,1,0,technical,low
emp376,0.81,0.95,5,238,6,0,1,0,technical,low
emp377,0.1,0.97,6,267,4,1,1,0,support,low
emp378,0.74,0.89,5,229,6,0,1,0,support,low
emp379,0.09,0.78,6,254,4,0,1,0,support,low
emp380,0.82,0.81,4,233,4,1,1,0,support,low
emp381,0.1,0.98,6,268,4,0,1,0,support,low
emp382,0.27,0.56,3,301,3,0,1,0,support,low
emp383,0.83,0.92,5,267,6,0,1,0,support,low
emp384,0.1,0.93,6,289,4,1,1,0,support,low
emp385,0.38,0.47,2,144,3,0,1,0,support,low
emp386,0.4,0.56,2,148,3,0,1,0,support,low
emp387,0.11,0.83,6,306,4,0,1,0,support,low
emp388,0.11,0.79,6,292,4,0,1,1,technical,low
emp389,0.82,0.91,5,232,5,0,1,0,technical,low
emp390,0.36,0.48,2,137,3,0,1,0,technical,low
emp391,0.4,0.46,2,128,3,0,1,0,management,low
emp392,0.87,0.84,5,231,5,0,1,0,IT,low
emp393,0.41,0.49,2,146,3,0,1,0,IT,low
emp394,0.11,0.91,6,308,4,1,1,0,IT,low
emp395,0.1,0.93,6,253,4,0,1,0,IT,medium
emp396,0.38,0.51,2,146,3,0,1,0,IT,medium
emp397,0.39,0.55,2,156,3,0,1,0,product_mng,medium
emp398,0.4,0.52,2,147,3,0,1,0,product_mng,medium
emp399,0.45,0.48,2,136,3,0,1,0,product_mng,medium
emp400,0.74,0.84,5,249,5,0,1,0,product_mng,medium
emp401,0.45,0.55,2,151,3,0,1,0,IT,medium
emp402,0.12,1,3,278,4,0,1,0,RandD,medium
emp403,0.1,0.77,7,250,5,0,1,0,RandD,medium
emp404,0.37,0.55,2,127,3,0,1,0,RandD,medium
emp405,0.89,0.87,5,255,5,0,1,0,RandD,medium
emp406,0.45,0.47,2,135,3,0,1,0,RandD,medium
emp407,0.37,0.46,2,149,3,0,1,0,marketing,high
emp408,0.11,0.81,5,287,4,0,1,0,sales,low
emp409,0.41,0.48,2,145,3,0,1,0,accounting,medium
emp410,0.1,0.94,6,285,4,0,1,0,support,medium
emp411,0.1,0.93,7,305,4,0,1,0,technical,medium
emp412,0.11,0.95,7,300,4,0,1,0,management,medium
emp413,0.4,0.54,2,139,3,0,1,0,marketing,low
emp414,0.41,0.49,2,130,3,0,1,0,marketing,low
emp415,0.1,0.81,6,268,4,0,1,0,marketing,low
emp416,0.73,0.86,4,245,6,0,1,0,sales,low
emp417,0.43,0.47,2,135,3,0,1,0,sales,low
emp418,0.37,0.46,2,153,3,0,1,0,sales,low
emp419,0.11,0.94,6,276,4,0,1,0,sales,low
emp420,0.4,0.46,2,130,3,0,1,0,sales,low
emp421,0.41,0.54,2,153,3,1,1,0,sales,low
emp422,0.82,0.84,5,244,5,0,1,0,sales,low
emp423,0.61,0.47,2,253,3,0,1,0,sales,low
emp424,0.11,0.91,7,287,4,0,1,0,sales,low
emp425,0.37,0.45,2,131,3,0,1,0,sales,low
emp426,0.41,0.52,2,135,3,0,1,0,sales,low
emp427,0.37,0.52,2,157,3,0,1,0,sales,low
emp428,0.88,0.99,5,262,6,0,1,0,sales,low
emp429,0.1,0.85,6,266,4,0,1,0,sales,low
emp430,0.44,0.48,2,148,3,0,1,0,sales,low
emp431,0.38,0.57,2,140,3,0,1,0,sales,low
emp432,0.11,0.85,7,302,4,0,1,0,sales,low
emp433,0.09,0.98,6,271,4,0,1,0,sales,low
emp434,0.45,0.52,2,145,3,0,1,0,sales,medium
emp435,0.1,0.81,6,290,4,0,1,0,accounting,medium
emp436,0.45,0.47,2,151,3,0,1,0,accounting,medium
emp437,0.77,0.87,5,266,5,0,1,0,accounting,medium
emp438,0.44,0.51,2,140,3,0,1,0,hr,medium
emp439,0.39,0.5,2,142,3,0,1,0,hr,medium
emp440,0.1,0.91,6,246,4,0,1,0,hr,medium
emp441,0.09,0.89,7,308,5,0,1,0,hr,medium
emp442,0.37,0.47,2,141,3,0,1,0,technical,medium
emp443,0.9,1,5,232,5,0,1,0,technical,medium
emp444,0.41,0.56,2,143,3,0,1,0,technical,medium
emp445,0.37,0.52,2,155,3,0,1,0,technical,medium
emp446,0.1,0.86,6,278,4,0,1,0,technical,high
emp447,0.81,1,4,253,5,0,1,0,technical,low
emp448,0.11,0.8,6,282,4,0,1,0,technical,medium
emp449,0.11,0.84,7,264,4,0,1,0,technical,medium
emp450,0.4,0.46,2,149,3,0,1,0,technical,medium
emp451,0.09,0.8,6,304,5,0,1,0,technical,medium
emp452,0.48,0.93,3,219,6,0,1,0,technical,low
emp453,0.91,0.91,4,262,6,0,1,0,support,low
emp454,0.43,0.57,2,135,3,0,1,0,support,low
emp455,0.33,0.88,6,219,5,0,1,0,support,low
emp456,0.41,0.57,2,136,3,0,1,0,support,low
emp457,0.41,0.55,2,154,3,0,1,0,support,low
emp458,0.37,0.54,2,149,3,0,1,0,support,low
emp459,0.31,0.62,6,135,5,0,1,0,support,low
emp460,0.09,0.91,6,275,4,0,1,0,support,low
emp461,0.1,0.87,6,290,4,0,1,0,support,low
emp462,0.76,0.9,4,263,5,0,1,0,support,low
emp463,0.41,0.54,2,145,3,0,1,0,support,low
emp464,0.72,0.96,5,267,5,0,1,0,technical,low
emp465,0.4,0.5,2,141,3,1,1,0,technical,low
emp466,0.91,0.87,4,235,5,0,1,0,technical,low
emp467,0.1,0.83,6,258,4,0,1,0,management,low
emp468,0.4,0.56,2,131,3,0,1,0,IT,low
emp469,0.82,0.86,5,243,5,0,1,0,IT,low
emp470,0.1,0.82,6,266,4,0,1,0,IT,low
emp471,0.37,0.45,2,142,3,0,1,0,IT,low
emp472,0.36,0.51,2,135,3,0,1,0,IT,low
emp473,0.39,0.48,2,141,3,0,1,0,product_mng,medium
emp474,0.36,0.57,2,142,3,0,1,0,product_mng,medium
emp475,0.86,0.84,5,254,5,0,1,0,product_mng,medium
emp476,0.73,0.99,5,262,5,0,1,0,product_mng,medium
emp477,0.56,0.71,4,296,2,0,1,0,IT,medium
emp478,0.44,0.56,2,158,3,0,1,0,accounting,medium
emp479,0.31,0.56,4,238,2,0,1,0,accounting,medium
emp480,0.77,0.93,4,231,5,0,1,0,hr,medium
emp481,0.44,0.45,2,156,3,0,1,0,hr,medium
emp482,0.38,0.46,2,145,3,0,1,0,hr,medium
emp483,0.45,0.48,2,144,3,0,1,0,marketing,medium
emp484,0.38,0.51,2,159,3,0,1,0,sales,medium
emp485,0.36,0.48,2,156,3,0,1,0,accounting,high
emp486,0.75,0.9,5,256,5,0,1,0,support,low
emp487,0.1,0.93,6,298,4,0,1,0,technical,medium
emp488,0.1,0.97,6,247,4,0,1,0,management,medium
emp489,0.45,0.5,2,157,3,0,1,0,marketing,medium
emp490,0.42,0.57,2,154,3,1,1,0,marketing,medium
emp491,0.78,1,4,253,5,0,1,0,marketing,low
emp492,0.45,0.55,2,148,3,0,1,0,sales,low
emp493,0.84,1,4,261,5,0,1,0,sales,low
emp494,0.11,0.93,6,282,4,0,1,0,sales,low
emp495,0.42,0.56,2,133,3,0,1,0,sales,low
emp496,0.45,0.46,2,128,3,0,1,0,sales,low
emp497,0.46,0.57,2,139,3,0,1,0,sales,low
emp498,0.09,0.79,6,293,5,0,1,0,sales,low
emp499,0.87,0.83,4,265,6,0,1,0,sales,low
emp500,0.1,0.87,6,250,4,0,1,0,sales,low
emp501,0.91,1,5,251,6,0,1,0,sales,low
emp502,0.76,0.92,4,246,5,0,1,0,sales,low
emp503,0.74,1,5,275,5,0,1,0,sales,low
emp504,0.92,0.93,5,240,5,0,1,0,sales,low
emp505,0.76,0.87,5,245,5,0,1,0,sales,low
emp506,0.47,0.5,4,254,4,0,1,0,sales,low
emp507,0.73,0.99,5,241,5,0,1,0,sales,low
emp508,0.09,0.94,6,257,4,0,1,0,sales,low
emp509,0.91,0.92,4,246,5,0,1,0,sales,low
emp510,0.82,0.98,4,233,5,0,1,0,sales,low
emp511,0.28,0.45,6,218,4,0,1,0,accounting,low
emp512,0.84,0.99,4,262,6,0,1,0,accounting,medium
emp513,0.45,0.53,2,138,3,0,1,0,accounting,medium
emp514,0.45,0.54,2,142,3,0,1,0,hr,medium
emp515,0.91,0.97,5,233,5,0,1,0,hr,medium
emp516,0.42,0.48,2,155,3,0,1,0,hr,medium
emp517,0.82,1,4,229,6,0,1,0,hr,medium
emp518,0.11,0.9,6,264,4,0,1,0,technical,medium
emp519,0.42,0.53,3,199,4,0,1,0,technical,medium
emp520,0.82,0.85,4,223,5,0,1,0,technical,medium
emp521,0.09,0.96,6,268,4,0,1,0,technical,medium
emp522,0.1,0.94,6,287,4,0,1,0,technical,medium
emp523,0.86,1,5,257,5,0,1,0,technical,medium
emp524,0.4,0.46,2,143,3,0,1,0,technical,high
emp525,0.45,0.46,2,130,3,0,1,0,technical,low
emp526,0.42,0.51,2,136,3,0,1,0,technical,medium
emp527,0.74,0.92,4,261,5,0,1,0,technical,medium
emp528,0.55,0.6,3,180,4,0,1,0,technical,medium
emp529,0.37,0.45,2,126,3,0,1,0,support,medium
emp530,0.41,0.52,2,127,3,1,1,0,support,low
emp531,0.89,0.65,5,195,6,0,1,0,support,low
emp532,0.41,0.57,2,160,3,0,1,0,support,low
emp533,0.44,0.51,2,150,3,0,1,0,support,low
emp534,0.87,0.84,4,264,6,0,1,0,support,low
emp535,0.1,0.84,6,309,4,0,1,0,support,low
emp536,0.41,0.47,2,135,3,0,1,0,support,low
emp537,0.11,0.85,6,261,4,0,1,0,support,low
emp538,0.43,0.53,2,160,3,0,1,0,support,low
emp539,0.77,0.9,4,237,5,0,1,0,support,low
emp540,0.41,0.52,2,136,3,0,1,0,technical,low
emp541,0.41,0.48,2,139,3,0,1,0,technical,low
emp542,0.36,0.78,2,151,4,0,1,0,technical,low
emp543,0.77,1,5,229,5,0,1,0,management,low
emp544,0.81,0.98,5,245,5,0,1,0,IT,low
emp545,0.39,0.54,2,127,3,0,1,0,IT,low
emp546,0.09,0.94,6,283,5,0,1,0,IT,low
emp547,0.44,0.46,2,143,3,0,1,0,IT,low
emp548,0.1,0.84,5,298,4,0,1,0,IT,low
emp549,0.36,0.48,2,159,3,0,1,0,product_mng,low
emp550,0.81,0.92,5,239,5,0,1,0,product_mng,low
emp551,0.81,0.9,4,226,5,0,1,0,product_mng,medium
emp552,0.85,0.98,5,248,5,0,1,0,product_mng,medium
emp553,0.1,0.87,6,286,4,0,1,0,IT,medium
emp554,0.37,0.54,2,145,3,0,1,0,RandD,medium
emp555,0.09,0.97,7,254,4,1,1,0,RandD,medium
emp556,0.44,0.53,2,127,3,0,1,0,RandD,medium
emp557,0.86,0.93,5,223,5,0,1,0,RandD,medium
emp558,0.77,1,4,255,5,0,1,0,RandD,medium
emp559,0.41,0.48,2,136,3,0,1,0,marketing,medium
emp560,0.4,0.48,2,137,3,0,1,0,sales,medium
emp561,0.43,0.49,2,135,3,0,1,0,accounting,medium
emp562,0.43,0.5,2,137,3,0,1,0,support,medium
emp563,0.8,0.53,3,255,5,0,1,0,technical,high
emp564,0.8,0.85,4,273,5,0,1,0,management,low
emp565,0.82,0.98,5,234,5,0,1,0,marketing,medium
emp566,0.37,0.54,2,152,3,0,1,0,marketing,medium
emp567,0.37,0.48,2,134,3,0,1,0,marketing,medium
emp568,0.09,0.95,6,292,4,0,1,0,sales,medium
emp569,0.9,0.92,5,245,5,0,1,0,sales,low
emp570,0.41,0.52,2,159,3,0,1,0,sales,low
emp571,0.1,0.85,6,260,4,0,1,0,sales,low
emp572,0.44,0.53,2,149,3,0,1,0,sales,low
emp573,0.89,0.85,5,266,5,0,1,0,sales,low
